tweet_id,thread_id,position,thread_context,message_text,human_intent,human_difficulty,human_escalate,notes
539205,539205,opener,,I need help with logging into my new account and your password reset page is not working!,,,,
2275497,2275497,opener,,Why when I click login on the Spotify app it just stays there it doesn’t let me sign in @115888,,,,
908260,908260,opener,,I have sent 3 requests for password recovery. All came to email in SPANISH!!! I am insulted and disgusted as I am in the USA,,,,
1841901,1841901,opener,,"someone keeps hacking into devices ""yanko pc"", my old account was hacked and I think it is the same guy. I can't remove his device.",,,,
460199,460199,opener,,id::93__credit_card__:@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there w,,,,
1810749,1810749,opener,,"Hey! My dad died recently with his own Premium account, and we don't have his password. How can I cancel his subscription?",,,,
2789416,2789416,opener,,cannot reach website spotify! Cannot login anymore. Cannot reset my password. Please help,,,,
2238193,2238193,opener,,Spotify will randomly connect to Web Player (which I never use). Logged out of all accounts and changed pwd - still happening.,,,,
2035332,2035332,opener,,I can't log in and your website requires me to be logged in to submit a query via your contact form.,,,,
1643557,1643557,opener,,hey uh @SpotifyCares my account got hacked by someone with a french email address,,,,
1808839,1808839,opener,,I'd like to suscribe my 14 yo son to premium w the student promo.. I can't cause he's not in university yet.. is it possible?,,,,
2031716,2031716,opener,,Trying to give @116130 my money and sign up to premium but they keep saying my card or provider is having a bad day. It’s not my card!,,,,
2479626,2479626,opener,,i’m trying to upgrade to spotify premium but y’all won’t accept my postal code?,,,,
2210957,2210957,opener,,Hi i was wondering if someone could help me. I signed up for a 30 day trial and i was charged the 9.99 i wanted to know why,,,,
1611534,1611534,opener,,"hey, how can I upgrade my current sub from premium to premium student without adding new payment information? /Andreas",,,,
2047770,2047770,opener,,Spotify gave everyone with a student account a Hulu account as well so safe to say I won't be leaving the house other than for work/school,,,,
2316675,2316675,opener,,Wow @115888 just kicked me out of the student plan. I'm still a broke college student for another month !!!,,,,
2764549,2764549,opener,,Lewati tanpa batas dengan Premium. Dapatkan 3 bulan Premium kini hanya Rp 4.990.,,,,
622831,622831,opener,,I'm having trouble purchasing premium after receiving an offer for 3 mos/9.99. I would appreciate an email to reach out too. Thanks,,,,
169711,169711,opener,,I cancelled my account over a month ago and STILL got a charge today.,,,,
1130693,1130693,opener,,"Please @115888, do a good job analyzing the preferences of your users in order to bring accurated ads and promos. Please. Do that.",,,,
1769713,1769713,opener,,Why in hell is this in my advertisements? Seriously? I would rather lose my remaining 10% of hearing than ever hear that trash.,,,,
1666821,1666821,opener,,When you watch the “short” video to get 30 mins of ad free music and then 10 mins later you get an ad. @115888,,,,
961769,961769,opener,,You're playing Christmas ads way too damn early. Can you not? Thnx.,,,,
2976799,2976799,opener,,"Trouble logging in to Spotify on new Amazon Fire TV. I normally log into Spotify with Facebook, but there is no option on the TV to log in with that method. I tried using the devices available through my phone but the TV didnt pop up. Can i set up a temp user/pass?",,,,
1917936,1917936,opener,,"Dear @115888, I was interested in that book the first 10 ads I heard. Now I'm can't stand it already.",,,,
2641094,2641094,opener,,I keep trying to listen to song but these zero second ads or ads that dont play keep from doing that,,,,
1208475,1208475,opener,,"on PS3, your ads seem to also skip songs",,,,
2815941,2815941,opener,,"Dear @115888, Don't you only play commercials on the free version of the app? Why are you advertising @1731 on the free app? If I had enough money to own a Cadillac I'd have no problem paying to listen to custom radio. Also, I'm not going to suddenly realize I need a Caddy.",,,,
1918979,1918979,opener,,Hey @117168 you need to work on your algorithms. I don't want ads from @21510.,,,,
2005273,2005273,opener,,My Spotify literally doesn’t even play songs. It lags all the time. Don’t use Spotify. It’s completely unreliable. #doapplemusic @115888,,,,
2653009,2653009,opener,,"Hey @115888 why all of a sudden has my keyboard pause, play, skip button stop working? I have to go into the playlist and now do it all. Is that new and how can I change it back? Thanks.",,,,
252914,252914,opener,,I left because I can't get my free trial to work offline and there is no one to talk to to help. And I really really wanted this 😢😢,,,,
950428,950428,opener,,I keep getting 'Can't play the current song'?,,,,
2753736,2753736,opener,,the new search function is worthless while in offline mode. How can I modify it to search for my songs by keyword?,,,,
1574540,1574540,opener,,I'm still stuck on free! This has been a week now. Tidal or pandora or Apple Music wouldn't do this shit.,,,,
1865552,1865552,opener,,can you plz help to fix it so next time I could hear it offline. Tq. (2),,,,
496124,496124,opener,,"I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.",,,,
2307186,2307186,opener,,"Hey, can you help me get my songs on my iPod and keep them on my computer. I cannot play songs only shuffle but on the computer version I can play any song.",,,,
2668076,2668076,opener,,"Hey @115888 how is it I'm supposed to have a shower without listening to @103044's EP ""Likes me like that"" because it magically disappeared of your app????",,,,
508837,508837,opener,,Why does your desktop app open quickly but then take a million damn years to load? @SpotifyCares,,,,
2921949,2921949,opener,,"Hey @SpotifyCares - you guys having iOS app issues now? I have a connection but getting ""error "" screen.",,,,
360173,360173,opener,,how do I search my own playlist for a song on my iPhone app?,,,,
2047624,2047624,opener,,I just love how @115888 skips like a broken CD player from 1998 on this Android 8.0 garbage.,,,,
1247534,1247534,opener,,Would be cool to have some visualizations to watch when you go full screen on Spotify PC. Like the old windows media player.,,,,
2470246,2470246,opener,,the webplayer hasn't been working for weeks. Is that normal?,,,,
1074047,1074047,opener,,"Yo @115888, the app keeps crashing every time I try to share a song on my pixel!",,,,
2916605,2916605,opener,,I think your web player is down. My web player won't play any music.,,,,
1691147,1691147,opener,,I keep getting signed out of the web player! Just started today. Is that a bug?,,,,
2218914,2218914,opener,,When will your app be optimized for the iPhone X display? :/,,,,
2920637,2920637,opener,,please please please can you bring back the feature on the app where u can hold down on a song and preview it because that was so good and helped my life so much and I would be very grateful if it came back I do not know why it disappeared,,,,
2342555,2342555,opener,,"Dear @115888 , a suggestion: put in the songs of the Discover Weekly and Release Radar Playlist a heart signal so we can choose which songs we like it. And after that, make the algorithm learn from that.",,,,
2010982,2010982,opener,,Low key annoyed that on the @115888 app you can’t order it by artist and have the songs in order at the same time 😡😡,,,,
407597,407597,opener,,for the love of GOD please bring back the Touch Preview feature! Best part of the app’s UI gone. I’m quite sad ☹️,,,,
704592,704592,opener,,this disturbing malignant vandalism and what it says abt the conditions these recording artists work in.,,,,
2879846,2879846,opener,,"/@SpotifyCares quick Q. When I try to add my own public playlist (link below) to my artist page by searching for ""Breaking Boston"" it doesn't come up. Is there any way to add immediately, or do I need to wait for it to index or something?",,,,
2618522,2618522,opener,,hello tf I wanted to spend my Friday crying WHILE listening to red velvet's new album but I'm only doing one of it now??,,,,
2045332,2045332,opener,,ur way ofcrediting artists &amp; composers in classical msc is confusingWho r the composers in this album,,,,
