tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,thread_id,text_raw,text_clean,predicted_intent,confidence,reasoning
876401,328070,True,Fri Oct 20 17:39:24 +0000 2017,"@SpotifyCares hello, I suddenly got logged out from my mac and android phone, cant seem to login, username should be deryateoman",876400,,876401,"@SpotifyCares hello, I suddenly got logged out from my mac and android phone, cant seem to login, username should be deryateoman","hello, I suddenly got logged out from my mac and android phone, cant seem to login, username should be deryateoman",Account Access/Login,1.0,The message directly addresses issues with logging in and being logged out from multiple devices.
2058614,608858,True,Sat Oct 07 04:35:41 +0000 2017,BRUH @115888 how come ur thing keep wanting me to put metal in my playlist when it mostly rock and rap?!?,2058613,,2058614,BRUH @115888 how come ur thing keep wanting me to put metal in my playlist when it mostly rock and rap?!?,BRUH @115888 how come ur thing keep wanting me to put metal in my playlist when it mostly rock and rap?!?,Content & Feature Requests,1.0,Customer is requesting changes to the playlist content filtering preferences.
1972006,121067,True,Wed Nov 01 07:09:01 +0000 2017,Dutch credit card does not equal Dutch language @115888. Please change the damn settings so I can read your freaking emails.,1972005,,1972006,Dutch credit card does not equal Dutch language @115888. Please change the damn settings so I can read your freaking emails.,Dutch credit card does not equal Dutch language @115888. Please change the damn settings so I can read your freaking emails.,Regional/Country Restriction,1.0,Inquiry addresses regional/country restriction issues with language settings.
912579,336718,True,Sat Oct 21 06:14:16 +0000 2017,@115888 please stop playing creepy Halloween movie ads while I’m in the gym by myself at 1am thanks,912578,,912579,@115888 please stop playing creepy Halloween movie ads while I’m in the gym by myself at 1am thanks,please stop playing creepy Halloween movie ads while I’m in the gym by myself at 1am thanks,Advertisement Complaints,1.0,Inquiry directly addresses advertisement complaints matters.
1993423,589943,True,Fri Nov 03 08:54:30 +0000 2017,@125633 how long should it take for me to get access??,1993422,,1993423,@125633 how long should it take for me to get access??,how long should it take for me to get access??,Account Access/Login,1.0,Inquiry directly addresses account access/login matters.
1915256,570480,True,Wed Oct 25 23:49:37 +0000 2017,@115888 What's going on with the #WindowsPhone app? It's been like a week since it stopped working.,1915254,,1915256,@115888 What's going on with the #WindowsPhone app? It's been like a week since it stopped working.,What's going on with the #WindowsPhone app? It's been like a week since it stopped working.,Platform-Specific Technical,1.0,Inquiry addresses issues with the WindowsPhone app.
2457263,618986,True,Wed Nov 15 04:36:33 +0000 2017,@SpotifyCares my downloaded music keeps undownloading. I've tried removing the devices from my account. This is the 5th time it's happened. Very annoying. And I pay for premium,"2457262,2457264",,2457263,@SpotifyCares my downloaded music keeps undownloading. I've tried removing the devices from my account. This is the 5th time it's happened. Very annoying. And I pay for premium,my downloaded music keeps undownloading. I've tried removing the devices from my account. This is the 5th time it's happened. Very annoying. And I pay for premium,Playback & App Bugs,1.0,"Customer describes issues with downloaded music undownloading, which is a playback & app bug issue."
708095,289267,True,Tue Oct 10 19:48:36 +0000 2017,@SpotifyCares why can’t we pay the premium student discount with paypal???,708093,,708095,@SpotifyCares why can’t we pay the premium student discount with paypal???,why can’t we pay the premium student discount with paypal???,Billing & Subscription,1.0,Inquiry directly addresses billing & subscription matters regarding payment method.
2715262,762217,True,Mon Nov 20 04:51:54 +0000 2017,One of my family member got kicked out and cannot be added .. what to do ?? @SpotifyCares,2715261,,2715262,One of my family member got kicked out and cannot be added .. what to do ?? @SpotifyCares,One of my family member got kicked out and cannot be added .. what to do ?? @SpotifyCares,Family Plan Management,1.0,Inquiry addresses issues with adding/removing members from a family plan.
662933,115888,True,Sat Nov 18 18:56:44 +0000 2017,3 months of Premium is just $0.99. Play music offline wherever you go. https://t.co/yHIVg9lbzs,"662932,662934,662935",,662933,3 months of Premium is just $0.99. Play music offline wherever you go. https://t.co/yHIVg9lbzs,3 months of Premium is just $0.99. Play music offline wherever you go.,Billing & Subscription,1.0,Message is about a promotional discount for Premium subscription.
